ID,X,Y
1,40.638960526586935,-121.80001112710536
6,32.68576445970276,-116.06550575048114
18,34.42589507049388,-119.62589092054012
48,35.25284782624285,-119.25975547538548
50,39.6657477532087,-121.00738447865471
84,38.983375021248406,-122.91237676127528
88,33.67132880639792,-116.15737639577247
90,37.37658047892782,-119.52672786691237
115,33.646036103690506,-117.82638106696884
153,33.9361133388886,-117.4238933862183
154,36.93111765776904,-120.07775995757288
175,40.05316922052911,-121.2058186064965
183,38.15042890865556,-119.3699411267896
186,38.49422362601483,-122.40526831781156
190,36.95354456026713,-120.65377774414472
191,38.158747000871145,-121.0207685370342
218,39.32110720140072,-120.42394739529222
236,36.6036520727654,-120.13371074917802
247,38.501932989590735,-121.4629721941768
252,38.70178609402557,-120.65712385590126
257,39.370872719588455,-122.6517911884216
276,37.38517352448395,-120.70863283291558
279,33.41714891846884,-117.31279234376252
297,35.28871994813476,-120.43376703713324
299,34.57515221327402,-117.36082759758916
306,37.46625077801396,-120.9308661815878
376,33.73016486184197,-118.23854116544108
388,34.52601917450395,-117.5907153960508
396,33.88585563928523,-117.06458287133424
403,34.13969285343755,-117.95625587815648
407,41.01862853165923,-123.63738147679516
418,36.12365807565741,-119.15943128160652
419,33.105553171653426,-117.04764646322856
422,38.24941855489948,-120.64996245904914
432,37.19542172387308,-119.5859435254453
462,39.97978059380853,-122.07878588680104
465,40.7774998491872,-124.17584287174908
474,37.150609475730896,-119.4703210881338
494,37.82755508889877,-121.04698108838188
508,38.62643848296099,-121.0948898131382
511,38.54933460389788,-120.99889840253752
631,32.65840679567164,-116.9896582021498
643,32.99161207264788,-117.22065193368692
678,40.40293137584434,-122.28461043072096
691,35.09391971215338,-119.30522915844364
715,38.741363596286696,-120.57060383782668
725,39.86969559802734,-121.67696745450532
763,37.65578542294952,-120.35248154239083
768,36.44482462760733,-119.70859596447512
783,34.84527703285017,-114.60550264608788
784,36.97565015782245,-119.5465116144468
794,35.36837457933275,-118.85430951452558
809,38.472928775606256,-122.00712805421252
810,38.035234025717,-121.30969021232356
811,35.68022398058272,-118.37163840435196
813,32.72361053904376,-116.96818283370224
828,34.21763048310121,-119.25330017555363
834,40.613059009168815,-121.1142360665621
839,37.64348085922488,-120.29927429984627
867,38.55623619290008,-120.29355846235352
875,39.40740881355093,-122.1461215319222
912,38.83505089282047,-120.45374968717208
924,39.248945047189885,-121.09263216426484
938,36.461763903261314,-119.43890429229518
944,40.35230598731758,-122.45383423770753
952,34.271521924761544,-117.2990503000815
960,36.72858260976302,-120.45950039584756
976,34.27848028341152,-118.87690441634804
1007,37.01592285523252,-120.0562797052446
1014,40.62415343138001,-121.85052109432436
1039,37.35789309899734,-121.07638314913424
1040,39.30895992035136,-123.07535424722582
1079,38.29782613270196,-121.41994865725005
1111,38.11460963549638,-122.8714004696419
1171,35.404228995149445,-118.5443989109462
1174,39.846712358117365,-123.69501539936276
1217,34.02081231060732,-117.95883630121428
1219,37.10772096042329,-120.87092001229392
1235,37.35710377638249,-120.54034494571984
1238,37.35183196743594,-121.88286819742387
1250,41.67701119541916,-123.43471905875096
1251,37.44783589626212,-120.6491128372057
1252,37.3657086920409,-120.6865958707399
1286,40.28564088018999,-121.11484548056688
1297,38.121294160228416,-122.92980909169977
1307,41.89578527813022,-122.0829623523022
1308,39.790342831186855,-121.9193547324596
1316,33.56030070874666,-117.07024054529968
1325,39.46474804270616,-121.21350250596008
1333,32.61289981464552,-116.70631485278597
1346,37.41189774449209,-120.90720209414371
1363,36.24042441543322,-119.80918014032709
1367,36.26841761003328,-118.01790127586192
1381,33.96142251328471,-117.55357890892328
1389,34.024394079166136,-118.81771430854458
1397,32.7678027047571,-114.59902909027556
1398,34.89414182425574,-117.1889404667382
1401,34.83533741109568,-117.19090190009491
1408,39.49315193010112,-121.8434367471945
1411,40.60237997690817,-122.22242266252022
1420,33.88601556583669,-118.26686577909882
1423,34.403463767510345,-117.3992173886426
1428,35.44132173481596,-119.62502059956827
1429,36.11074862120109,-119.48724657078355
1433,34.926607443718595,-120.61643723318268
1439,35.977291063123275,-120.45979589201616
1449,37.30206569308045,-118.15457938880816
1456,34.05325347969324,-117.87578265904132
1457,35.93631342913766,-116.42289924947762
1466,37.53725963488052,-120.62742680215776
1479,39.307203663672304,-120.33916256623604
1482,34.66633087304214,-116.01797028091964
1537,34.73660367568818,-115.8813978291543
1546,41.750016462088205,-122.06476595162908
1558,33.191527471841134,-117.36277067437402
1561,40.77756538077995,-121.9804287768592
1577,37.17673912573083,-121.01314014837118
1581,39.74193218467644,-120.9095323905986
1587,35.29301014412576,-120.32202200177576
1600,40.74023181182591,-124.24088836289812
1607,40.12737300840218,-122.21294697343431
1612,41.81519493211504,-122.37655094435289
1656,32.725490470385466,-116.84480131539244
1688,36.225860277139134,-119.62019124267472
1693,39.16316601753213,-121.97835081952542
1714,34.44013787989745,-118.29551190781868
1717,34.44216932694122,-119.94855587495672
1728,38.61129265966017,-120.22165072012166
1732,38.15580435671573,-122.40850314640804
1763,37.150588638255066,-122.17402124477424
1798,38.89591376413791,-121.78773600397744
1830,38.11537986473821,-121.45565739483902
1834,36.14366736303921,-120.55582835655665
1849,37.4283982468298,-119.8585438094367
1861,32.929275134859,-117.00312567900868
1865,38.71424748759989,-122.84139158764694
1901,37.79233301701253,-120.78834213107248
1921,35.97949854473437,-120.901638296759
1925,41.42959535081686,-122.86678088879982
1981,36.97465896045888,-120.12044455473442
1990,36.38726094327978,-118.9523874184966
2010,37.62481849350397,-121.26931858170542
2044,37.64990754558565,-121.85039596663708
2048,37.40285881382962,-120.0852886318534
2053,34.27129903889056,-118.62971692208409
2066,39.003000628226935,-122.8174069658556
2096,34.01854565656684,-117.48521096234995
2097,36.82173715831168,-120.48529081810028
2107,38.69964790396379,-121.33082293355214
2127,36.94769738170553,-119.83064465072748
2143,40.61091728470831,-120.83964242336596
2146,41.28116152781771,-122.06854721177244
2216,38.98232082970653,-122.84913402992146
2217,37.43124554818838,-121.80352336687234
2218,38.06007038790779,-121.68797175956288
2241,39.32676399567808,-123.13143183050616
2251,34.319888296944285,-117.382110203077
2252,34.036249052035195,-120.4021757309988
2253,33.745949109222444,-118.02884186683966
2260,39.4357802914482,-122.03868148900231
2263,37.14091729069071,-122.2019697428732
2269,38.9628126481899,-120.41199632538934
2344,36.2717264148243,-119.80778136937748
2376,37.68285830124219,-121.2748381067542
2384,32.7911849809698,-115.47384452390143
2418,35.22301603292733,-117.70163572101102
2430,34.29682886193626,-114.15708097726188
2442,40.468037661146255,-121.88599397235777
2445,35.02923936285025,-120.5578386094265
2453,33.48756175232906,-119.03038088407018
2513,37.76317643692982,-119.839581305598
2517,38.227042030792326,-122.45816390496772
2521,40.7956863493601,-120.2795436167681
2559,37.285313017818304,-118.15160642292048
2582,34.73156406781295,-118.79824433620205
2583,39.10278010512898,-121.0579420346848
2591,37.53663669498757,-121.00425963251396
2613,40.56520124319501,-122.02803832661463
2641,38.91491876507777,-120.68793541499744
2722,40.30435740650811,-124.0624612701946
2736,39.42088872685601,-121.80074997793665
2746,33.875776525737386,-117.44165044776804
2752,35.34884715483236,-118.38523293415857
2754,36.77227475378346,-118.96018062384584
2757,39.63824204351657,-121.89736521416025
2803,33.22501141456037,-116.4237087136961
2842,37.152729563838776,-120.82684406203737
2845,40.28513837577148,-122.5921948666724
2860,33.0535893464097,-117.2323490603022
2871,32.986187613600016,-114.89634174763506
2877,35.56029698392484,-120.60924543095496
2900,38.46158363362666,-122.0541546725628
2908,39.78776743896743,-123.2676656099622
2922,40.147164625857975,-122.14681159924984
2926,36.85094743114345,-120.55576116899871
2928,37.73621824324076,-118.97156967283505
2940,40.28161124928776,-121.107541583385
2950,36.27175234777516,-117.18658453220142
2960,36.37007577526784,-119.36790183051616
2962,34.64911131124713,-120.53223447181632
2963,39.6972047381639,-122.23564693862473
2981,34.6591124849726,-118.34820486142706
2998,40.635578141262414,-121.97195460612096
3007,34.12521428740798,-117.5163724083438
3036,37.491883848786486,-120.7025723447307
3070,39.44323439739891,-121.48523775831455
3089,37.78169112697297,-121.10664231409972
3109,38.82508584760837,-120.93833452207464
3116,37.46333961283519,-120.7806195468326
3136,37.766069080423016,-121.14265282547916
3185,34.21827334452456,-117.38285124168168
3190,38.1596452779896,-119.34761895570747
3197,37.95099210084332,-120.39524684278612
3206,37.75159430303714,-122.47308385951165
3235,36.81606940258245,-119.75101138776718
3254,34.68285817641161,-118.39022906656088
3300,37.58880623519117,-118.78614505662898
3305,38.83661493606693,-121.60889335337284
3362,38.26223455130559,-122.46157988400608
3366,36.74358324184676,-121.60338827395135
3390,33.93464044253874,-117.50348761449868
3412,32.60500684514644,-116.34308236567236
3416,39.38835046035989,-123.44186347849744
3422,38.946173564114126,-123.17412798842
3426,38.64581446111003,-120.4205773915694
3433,35.87707449285407,-120.37088023451344
3441,35.14690343240365,-119.43804744855476
3463,35.28732102917551,-119.96272987094194
3469,41.26744602505128,-121.90768238251366
3472,38.3356231104569,-120.757263891355
3473,33.116471053082705,-117.05378625521544
3514,40.602685198106,-122.256281511792
3531,36.82175873394194,-118.89730785347896
3551,32.989538311125266,-117.16572541890648
3559,34.56896019444217,-118.46605975752972
3568,38.50120544328866,-120.54990886472704
3589,38.38237820137173,-120.63681940201444
3592,39.10738606508422,-122.11606210845594
3598,38.62252262444539,-120.4965094679141
3599,38.41560059990012,-122.91682293147734
3608,34.80636856076449,-120.32635895640249
3636,37.65235813630359,-121.6673327386483
3670,39.156472368899934,-122.58638562356276
3677,34.6474654726221,-116.01199859322756
3684,35.03873544237454,-120.48953223019232
3691,40.28754538093703,-122.11423188334118
3694,35.61905852671028,-120.73983380888222
3735,36.83718248179732,-119.5441859740641
3743,34.695350307922,-119.33038907237494
3747,36.481049949293904,-119.33091927860458
3760,38.21212367644986,-120.45117392756286
3766,32.664465867705246,-115.54414905576066
3795,34.05937894369923,-118.23898045108088
3802,38.232207506193085,-122.63091663016792
3814,34.26778301073356,-118.89348282299628
3816,36.49457220351837,-121.14569566900832
3839,38.451478673133806,-122.9287028708273
3850,39.76226370024813,-123.21075952410791
3873,32.91851731918147,-117.20029862478272
3893,37.27358464918112,-120.49950783048077
3897,37.85666923098545,-121.00760420982056
3916,39.864973861664296,-122.13973995421894
3927,36.47115408943669,-121.39849115916788
3929,37.76190523516144,-120.784353255919
3932,39.2341586232307,-120.9220106487914
3942,32.743562869378735,-116.89493778138566
3945,36.47400934686543,-119.95917378353217
3975,32.8183005775395,-117.2225051266031
3997,35.94961821858826,-118.97499873976724
4012,36.88625755466384,-120.05600031648312
4015,39.0179908657058,-122.59507465108317
4051,33.2727259790103,-116.38962732296288
4062,37.886229708429646,-121.83941144932066
4066,40.87582456264379,-120.25042975423538
4068,41.34126006609832,-123.40648834943804
4090,34.09483448073677,-117.959379336466
4094,37.48531383605285,-120.82424805307193
4167,35.3653092089375,-115.4145342328196
4178,34.033986937619154,-117.5627603273934
4191,38.64787274948015,-122.74136684786116
4206,32.97189126932444,-115.5688548036125
4212,38.548753926228734,-122.70901580546006
